id_cliente;nome;sexo;cpf;data_nascimento;email;telefone;cep;logradouro;numero;complemento;bairro;cidade;estado;pais;renda_mensal;data_cadastro;ativo
1;João Felipe Borges;M;641.903.275-06;1955-12-30;barbaranovais@example.com;+55 51 2061 9610;71012-204;Travessa Maria Liz da Luz;4386;;Pompéia;Vargas;MA;Brasil;19570.48;2024-01-19;False
2;Rodrigo Costela;M;985.034.721-04;1980-07-22;gfreitas@example.org;+55 (061) 1742-5586;76950391;Núcleo de Albuquerque;626;Bloco B;Luxemburgo;da Conceição das Flores;PI;Brasil;14100.75;2025-05-22;False
3;Srta. Laura Monteiro;F;387.164.952-09;1948-02-18;carvalhomaria-alice@example.org;+55 (031) 4546 6019;85116086;Setor Sales;851;Apto 101;Vila Canto Do Sabiá;Alves Alegre;GO;Brasil;4673.85;2025-02-23;False
4;Lucas Gabriel Leão;M;502.381.769-59;1995-10-08;piresdanilo@example.net;51 8424 6528;81296-602;Viaduto Asafe Ferreira;2684;;Paulo Vi;da Rosa de Lima;SE;Brasil;22788.78;2021-05-14;True
5;Stephany Duarte;F;892.740.651-67;1951-06-13;natalia33@example.com;+55 71 6081-3830;49319515;Setor de Carvalho;1145;;Coração Eucarístico;Viana;PR;Brasil;8913.29;2025-04-25;False
6;Dr. Arthur da Cunha;M;975.314.820-88;2006-04-04;sfernandes@example.net;+55 71 0575 6553;53260-668;Estação Fernanda Freitas;720;;Betânia;Campos Paulista;PE;Brasil;17177.75;2023-11-14;True
7;Mateus Aragão;M;964.037.281-13;1963-03-24;knunes@example.com;+55 51 7894 5021;67278078;Largo Freitas;4781;Bloco B;Carlos Prates;Peixoto;AL;Brasil;14975.09;2025-01-25;False
8;Laura Santos;F;905.731.842-32;1956-07-25;bfogaca@example.org;0500-072-3048;83477348;Colônia Macedo;603;Casa;Vila Aeroporto;Correia do Galho;AP;Brasil;9571.36;2024-06-19;False
9;Pietro Camargo;M;068.421.395-89;1959-07-14;brenoda-cruz@example.org;+55 11 6006 5800;64241453;Alameda de Souza;9977;Sala 3;Marieta 1ª Seção;Martins;ES;Brasil;14773.13;2024-08-26;False
10;Thomas Ribeiro;M;693.708.514-10;1977-07-01;cardosojoaquim@example.com;11 8907 8545;60181951;Favela de Gomes;6525;Sala 3;Conjunto Serra Verde;Cardoso do Amparo;BA;Brasil;11708.09;2021-03-04;False
11;Aurora Farias;F;012.835.674-07;1949-03-09;cassianoian@example.com;+55 31 2057 3336;21045-653;Avenida Novaes;6137;Sala 3;Belmonte;da Cruz;MA;Brasil;2248.27;2023-02-14;True
12;Alexandre Viana;M;984.372.560-38;2002-09-25;mandrade@example.com;(084) 5058 0416;95719836;Viela de Barbosa;7978;Casa;Das Industrias I;Silveira;MS;Brasil;5497.98;2024-10-05;False
13;Larissa Rezende;F;892.307.546-92;1998-03-20;emanuellycirino@example.org;+55 84 9141 1504;24619-488;Viaduto Nascimento;1201;Bloco B;Capitão Eduardo;da Paz da Mata;PB;Brasil;10609.91;2023-02-16;False
14;Caleb Camargo;M;917.632.805-86;1945-02-25;pcostela@example.org;84 2128 4626;10196-490;Viela de Nogueira;3098;Sala 3;Vila Nova Cachoeirinha 3ª Seção;das Neves;MA;Brasil;3571.7;2025-10-13;False
15;Dr. Antônio Rios;M;248.136.507-08;1949-08-07;luigirios@example.org;81 3179-3696;13170-840;Viela Andrade;5766;Apto 101;Conjunto Califórnia Ii;Silva;AL;Brasil;11034.39;2024-08-18;True
16;Sra. Maria Isis Farias;F;268.570.439-65;1955-06-28;ana-juliafonseca@example.net;84 4462 8881;99289917;Feira de Pires;8107;Apto 101;Vila Vista Alegre;Alves de Freitas;MA;Brasil;14288.0;2025-01-31;True
17;João Miguel Nascimento;M;953.102.847-88;1978-07-13;laura21@example.net;0900-139-6281;83875-596;Ladeira de Fernandes;8789;Bloco B;Vila Independencia 3ª Seção;Cavalcanti de da Costa;AM;Brasil;10396.87;2021-07-29;False
18;Sr. Léo Aparecida;M;298.563.170-02;1979-09-29;maria-vitoriamontenegro@example.net;+55 (011) 7245 8731;76506-615;Quadra Arthur Camargo;167;Apto 101;Ápia;Fonseca Alegre;SP;Brasil;12224.0;2023-02-26;True
19;Dra. Olívia Siqueira;F;953.018.764-57;1974-04-18;ferreirajose@example.com;11 8415 3018;80978667;Estrada Cirino;5768;Casa;Maravilha;Farias;RR;Brasil;23934.79;2024-08-27;False
20;Dr. Danilo Gonçalves;M;156.092.743-70;1970-03-09;mateusbarros@example.org;(011) 7670-6014;65551-592;Alameda Macedo;1780;Sala 3;Monte Azul;Andrade do Oeste;SE;Brasil;2971.31;2023-07-27;False
21;João Pedro Cassiano;M;579.140.382-88;1967-08-07;maria-lauranovais@example.org;(041) 2377 5777;64167-195;Travessa Sofia Cardoso;1359;Bloco B;Flavio De Oliveira;Castro;RR;Brasil;22590.77;2024-09-01;False
22;Pedro Miguel Rocha;M;943.621.857-55;2000-02-11;pachecohelena@example.net;+55 (084) 5722 5922;62274-939;Lago Correia;8956;Bloco B;Tupi A;Sá;MA;Brasil;2184.72;2022-10-04;False
23;Melissa Alves;F;295.471.803-04;1961-09-10;ferreirapedro@example.org;+55 (051) 7621-8809;16234272;Núcleo de Sousa;7742;;Nossa Senhora Aparecida;Pimenta;PR;Brasil;19144.15;2023-10-09;False
24;Marina Silveira;F;928.167.340-13;1991-05-15;liammoura@example.org;+55 31 7114-2076;83961448;Ladeira Ravy Cassiano;5708;;Vila Antena Montanhês;Correia;AC;Brasil;16519.51;2021-11-24;True
25;Sophie da Rosa;F;712.394.085-79;1951-08-27;bporto@example.org;+55 71 5277-4177;51354-498;Colônia Albuquerque;1053;Apto 101;Vila Copasa;Freitas dos Dourados;PB;Brasil;10244.58;2024-06-03;True
26;Felipe da Costa;M;253.871.496-64;1970-06-09;qcastro@example.net;21 6860 3739;29579507;Quadra Cauê da Costa;937;Sala 3;Alto Das Antenas;Carvalho Paulista;CE;Brasil;10599.4;2025-04-23;False
27;Emanuel da Costa;M;829.573.401-60;1983-06-18;yda-luz@example.net;(061) 2137 4152;47879-003;Quadra Vargas;4771;Bloco B;Novo Santa Cecilia;Caldeira;PE;Brasil;10159.47;2025-05-01;False
28;Marcelo Cardoso;M;390.576.821-68;1964-12-08;ayllagoncalves@example.net;+55 (081) 8933-0834;74286-523;Campo Freitas;2733;Sala 3;Vila Califórnia;Fonseca;AM;Brasil;10576.78;2024-11-07;True
29;Antônio Freitas;M;906.572.834-10;2001-03-04;juliana37@example.net;(041) 3954 7947;89527-781;Conjunto de Casa Grande;7451;;Vila Cloris;Sousa do Norte;RO;Brasil;9714.18;2024-03-12;False
30;Sabrina Ramos;F;395.017.426-52;1962-12-19;luaracarvalho@example.net;31 6630-1993;30755366;Campo de Nascimento;7029;;Jonas Veiga;Sales da Serra;TO;Brasil;5226.57;2026-01-10;False
31;Erick Duarte;M;350.192.847-50;1946-05-21;nalmeida@example.net;+55 (081) 6121 2534;33700183;Loteamento João Guilherme Sales;5630;Sala 3;Conjunto Jatoba;Sousa de Mendes;RJ;Brasil;3962.27;2023-02-25;False
32;Otávio Caldeira;M;715.690.834-01;2000-12-30;theocamara@example.org;+55 (041) 1494-1330;55138-401;Ladeira de Barros;9342;Casa;Vila São Gabriel Jacui;da Cruz da Praia;MT;Brasil;3682.14;2025-02-02;True
33;Gustavo Henrique Novais;M;670.895.412-58;1958-07-14;novaesnicolas@example.com;+55 (021) 2929-9441;01481-467;Condomínio José Martins;5277;Casa;Vila Fumec;Viana;RN;Brasil;10857.0;2025-09-11;True
34;Leonardo Nascimento;M;857.964.203-56;1998-01-23;mariadias@example.org;+55 31 7376 3645;89808-172;Recanto Lima;8277;Apto 101;Colégio Batista;Silveira de Campos;GO;Brasil;19315.71;2022-04-27;True
35;Bryan Brito;M;945.123.708-97;2007-05-28;mouraisabel@example.com;(011) 0434-7837;33284252;Chácara Isis Fogaça;4396;Sala 3;Estoril;Leão;SC;Brasil;6926.81;2024-12-11;False
36;André da Rocha;M;803.761.245-71;1997-07-05;silveiraravy@example.com;+55 21 0054-2691;72082122;Sítio de Nascimento;5590;Sala 3;Anchieta;Araújo;AP;Brasil;14135.53;2023-03-10;True
37;Pietra Rios;F;895.173.402-14;2002-08-20;otavio69@example.net;(081) 8908 2234;70625978;Lago João Miguel Camargo;8066;Bloco B;Vila São Francisco;Pacheco;PR;Brasil;19758.43;2023-11-23;False
38;Gabrielly Freitas;F;034.856.921-15;1976-01-11;noahgarcia@example.org;0300 896 5133;38832464;Viela de Cirino;5580;Bloco B;Trevo;Abreu;MA;Brasil;22990.71;2025-11-19;True
